,ind,max_valorX,max_valorY,max_valorZ,media,formula,Ehull,HF,Gap,Energy,natoms,nspecies,thickness,uc_area,average_atomic_number,average_valence_number,average_electronegativity
2411,2552,0.787499999999909,0.787499999999909,0.787499999999909,0.787499999999909,As4P2O12H2,0.0,-1.531,4.556,-128.137,20,4,2.811,57.5,13.0,7.2,2.939
2412,2553,7.379999999999882,7.379999999999882,7.379999999999882,7.379999999999882,In4Cl8,0.059,-0.981,2.067,-37.107,12,2,3.883,59.625,27.666666666666668,9.0,2.6999999999999997
2413,2554,4.077499999999873,4.077499999999873,4.077499999999873,4.077499999999873,As4P2S12H2,0.027,-0.125,2.041,-87.473,20,4,3.653,85.41,17.8,7.2,2.423
2414,2555,0.42999999999995,0.46249999999997726,0.43499999999994543,0.44249999999995754,Ir4Bi8,0.036,-0.024,0.0,-74.787,12,2,3.354,50.099,81.0,13.0,2.08
2415,2556,2.6075000000000728,2.3875000000000455,2.75,2.581666666666706,Ir4S8,0.076,-0.381,0.692,-74.297,12,2,2.754,41.061,36.333333333333336,7.0,2.4533333333333336
2416,2557,0.7375000000001819,0.7375000000001819,0.7375000000001819,0.7375000000001819,Sb4P2O12H2,0.0,-1.631,4.217,-129.118,20,4,3.328,57.325,16.6,7.2,2.913
2417,2558,3.5599999999999454,3.5599999999999454,3.5599999999999454,3.5599999999999454,Ir4Se8,0.036,-0.336,0.824,-68.996,12,2,2.949,44.682,48.333333333333336,13.666666666666666,2.433333333333333
2418,2559,3.900000000000091,3.900000000000091,3.900000000000091,3.900000000000091,Ir4Te8,0.066,-0.268,0.551,-65.956,12,2,3.164,50.45,60.333333333333336,13.666666666666666,2.1333333333333333
2419,2560,0.7299999999997908,0.7299999999997908,0.7299999999997908,0.7299999999997908,Mg4Cl8,0.066,-1.821,5.339,-42.606,12,2,5.552,37.533,15.333333333333334,5.333333333333333,2.5433333333333334
2420,2561,0.8575000000000728,0.8575000000000728,0.8575000000000728,0.8575000000000728,Sb2As4O12H2,0.094,-1.151,2.765,-118.622,20,4,2.861,63.265,16.6,8.2,2.925
2421,2562,1.6100000000001273,1.6100000000001273,1.6100000000001273,1.6100000000001273,I8Mn4,0.035,-0.384,0.828,-55.304,12,2,5.604,57.575,43.666666666666664,13.666666666666666,2.29
2422,2563,0.28500000000008185,0.3650000000000091,0.3949999999999818,0.3483333333333576,Na4O8,0.0,-0.793,0.0,-55.744,12,2,3.932,26.655,9.0,4.333333333333333,2.603333333333333
2423,2564,0.1999999999998181,0.25250000000005457,0.20249999999987267,0.21833333333324845,Au4V2Li2O12,0.059,-1.118,0.525,-117.201,20,4,5.411,65.755,23.2,6.4,2.8329999999999997
2424,2565,1.2149999999999181,1.2049999999999272,1.2074999999999818,1.209166666666609,Ni4Br8,0.098,-0.308,0.634,-45.366,12,2,5.306,50.784,32.666666666666664,14.666666666666666,2.61
